Date,Currency,Base,Counter,Cropto,Price,Percent,rAlign
2017-12-21 00:55:00,코파운드잇,CFI,BTC,0.00001255,277 KRW,-5.64%,180.871
2017-12-21 00:55:00,메메틱,MEME,BTC,0.00004713,"1,042 KRW",-5.89%,179.476
2017-12-21 00:55:00,인터넷오브피플,IOP,BTC,0.00036264,"8,014 KRW",+3.20%,178.235
2017-12-21 00:55:00,팩텀,FCT,BTC,0.00266879,"58,980 KRW",+13.25%,172.087
2017-12-21 00:55:00,게임크레딧,GAME,BTC,0.00020200,"4,464 KRW",+10.18%,162.167
2017-12-21 00:55:00,언브레이커블코인,UNB,BTC,0.00009569,"2,115 KRW",-10.80%,156.129
2017-12-21 00:55:00,비아코인,VIA,BTC,0.00020499,"4,530 KRW",+2.60%,139.345
2017-12-21 00:55:00,디지털노트,XDN,BTC,0.00000062,13.70 KRW,+3.33%,133.508
2017-12-21 00:55:00,블랙코인,BLK,BTC,0.00003480,769 KRW,-3.01%,128.969
2017-12-21 00:55:00,에이엠피,AMP,BTC,0.00002632,582 KRW,+2.41%,120.718
2017-12-21 00:55:00,메이드세이프,MAID,BTC,0.00005100,"1,127 KRW",+20.45%,119.754
2017-12-21 00:55:00,베리코인,VRC,BTC,0.00005809,"1,284 KRW",-2.63%,112.057
2017-12-21 00:55:00,비트빈,BITB,BTC,0.00000048,10.61 KRW,+14.29%,111.070
2017-12-21 00:55:00,뉴메레르,NMR,BTC,0.00161999,"35,802 KRW",+3.85%,105.318
2017-12-21 00:55:00,신디케이트,SYNX,BTC,0.00003399,751 KRW,+1.92%,98.450
2017-12-21 00:55:00,버스트코인,BURST,BTC,0.00000162,35.80 KRW,+7.28%,94.863
2017-12-21 00:55:00,코어코인,KORE,BTC,0.00037217,"8,225 KRW",-11.76%,91.854
2017-12-21 00:55:00,노시스,GNO,BTC,0.01220005,"269,621 KRW",+4.63%,91.716
2017-12-21 00:55:00,익스펜스,EXP,BTC,0.00021795,"4,817 KRW",+1.65%,91.451
2017-12-21 00:55:00,다이내믹,DYN,BTC,0.00025760,"5,693 KRW",-5.27%,87.794
2017-12-21 00:55:00,머큐리,MER,BTC,0.00004680,"1,034 KRW",-2.80%,82.716
2017-12-21 00:55:00,싱귤러디티비,SNGLS,BTC,0.00001188,263 KRW,+28.57%,80.276
2017-12-21 00:55:00,아라곤,ANT,BTC,0.00018281,"4,040 KRW",-1.82%,80.252
2017-12-21 00:55:00,뱅코르,BNT,BTC,0.00027444,"6,065 KRW",+1.92%,76.309
2017-12-21 00:55:00,익스클루시브코인,EXCL,BTC,0.00013453,"2,973 KRW",-7.21%,69.881
2017-12-21 00:55:00,디직스다오,DGD,BTC,0.01022941,"226,070 KRW",-0.01%,68.814
2017-12-21 00:55:00,퀀텀리지스턴트렛저,QRL,BTC,0.00009590,"2,119 KRW",+4.26%,67.160
2017-12-21 00:55:00,파티클,PART,BTC,0.00069566,"15,374 KRW",+3.21%,65.205
