Id,Name,Currency,Base,Counter,Volume($),Price($),Volume(%),Date
90, Bittrex ,Qtum,QTUM,BTC,"65,803,300",56.43,1.54%,2017-12-21
91, Bittrex ,Dash,DASH,BTC,"61,591,200",1494.73,1.45%,2017-12-21
92, Bittrex ,Stellar,XLM,BTC,"60,127,700",0.248323,1.41%,2017-12-21
93, Bittrex ,Augur,REP,BTC,"52,605,900",89.97,1.23%,2017-12-21
94, Bittrex ,Ethereum Classic,ETC,BTC,"51,734,900",40.02,1.21%,2017-12-21
95, Bittrex ,DigiByte,DGB,BTC,"47,968,700",0.053701,1.13%,2017-12-21
96, Bittrex ,NEM,XEM,BTC,"43,049,800",0.945236,1.01%,2017-12-21
97, Bittrex ,Bitcoin Cash,BCC,ETH,"40,796,600",3707.34,0.96%,2017-12-21
98, Bittrex ,OmiseGO,OMG,BTC,"38,936,300",17.79,0.91%,2017-12-21
99, Bittrex ,Siacoin,SC,BTC,"37,180,300",0.021036,0.87%,2017-12-21
100, Bittrex ,Stratis,STRAT,BTC,"37,135,700",11.20,0.87%,2017-12-21
101, Bittrex ,Zcash,ZEC,BTC,"34,423,500",631.24,0.81%,2017-12-21
102, Bittrex ,Lisk,LSK,BTC,"32,302,400",20.04,0.76%,2017-12-21
103, Bittrex ,Power Ledger,POWR,BTC,"30,255,700",1.03,0.71%,2017-12-21
104, Bittrex ,Ark,ARK,BTC,"30,139,500",7.75,0.71%,2017-12-21
105, Bittrex ,Ethereum,ETH,USDT,"29,916,600",800.14,0.70%,2017-12-21
106, Bittrex ,Bitcoin Gold,BTG,USDT,"26,511,100",405.07,0.62%,2017-12-21
107, Bittrex ,Waves,WAVES,BTC,"23,236,300",15.28,0.55%,2017-12-21
108, Bittrex ,ReddCoin,RDD,BTC,"22,571,300",0.004447,0.53%,2017-12-21
109, Bittrex ,Litecoin,LTC,USDT,"21,265,400",316.63,0.50%,2017-12-21
110, Bittrex ,NAV Coin,NAV,BTC,"20,827,200",3.03,0.49%,2017-12-21
111, Bittrex ,Komodo,KMD,BTC,"20,444,700",8.04,0.48%,2017-12-21
112, Bittrex ,Vertcoin,VTC,BTC,"19,723,400",8.79,0.46%,2017-12-21
113, Bittrex ,BitBay,BAY,BTC,"18,962,000",0.225748,0.44%,2017-12-21
114, Bittrex ,Storj,STORJ,BTC,"18,392,300",1.61,0.43%,2017-12-21
115, Bittrex ,LBRY Credits,LBC,BTC,"18,323,200",0.745654,0.43%,2017-12-21
116, Bittrex ,NEO,NEO,USDT,"18,106,200",68.54,0.42%,2017-12-21
117, Bittrex ,Groestlcoin,GRS,BTC,"17,081,600",2.17,0.40%,2017-12-21
118, Bittrex ,Status,SNT,BTC,"16,641,600",0.184532,0.39%,2017-12-21
119, Bittrex ,Ripple,XRP,USDT,"16,149,600",0.710127,0.38%,2017-12-21
120, Bittrex ,Monaco,MCO,BTC,"14,163,800",16.39,0.33%,2017-12-21
121, Bittrex ,Syscoin,SYS,BTC,"13,604,500",0.586775,0.32%,2017-12-21
122, Bittrex ,MonaCoin,MONA,BTC,"13,235,400",15.05,0.31%,2017-12-21
123, Bittrex ,TenX,PAY,BTC,"12,713,600",3.34,0.30%,2017-12-21
124, Bittrex ,Metal,MTL,BTC,"12,642,800",9.08,0.30%,2017-12-21
125, Bittrex ,SALT,SALT,BTC,"12,285,400",9.52,0.29%,2017-12-21
126, Bittrex ,Golem,GNT,BTC,"10,919,500",0.617217,0.26%,2017-12-21
127, Bittrex ,OmiseGO,OMG,USDT,"10,891,800",17.60,0.26%,2017-12-21
128, Bittrex ,ZCoin,XZC,BTC,"10,603,100",67.83,0.25%,2017-12-21
129, Bittrex ,Ubiq,UBQ,BTC,"10,467,100",3.62,0.25%,2017-12-21
130, Bittrex ,Monero,XMR,USDT,"10,339,400",439.68,0.24%,2017-12-21
131, Bittrex ,Ripio Credit Network,RCN,BTC,"10,270,500",0.230366,0.24%,2017-12-21
132, Bittrex ,HempCoin,THC,BTC,"9,661,040",0.234813,0.23%,2017-12-21
133, Bittrex ,Ethereum Classic,ETC,USDT,"9,286,130",39.75,0.22%,2017-12-21
134, Bittrex ,Dogecoin,DOGE,BTC,"9,220,830",0.005815,0.22%,2017-12-21
135, Bittrex ,AdEx,ADX,BTC,"8,823,220",1.66,0.21%,2017-12-21
136, Bittrex ,Steem,STEEM,BTC,"8,246,340",3.07,0.19%,2017-12-21
137, Bittrex ,Civic,CVC,BTC,"8,102,980",0.632609,0.19%,2017-12-21
138, Bittrex ,Decentraland,MANA,BTC,"8,099,870",0.110138,0.19%,2017-12-21
139, Bittrex ,Ardor,ARDR,BTC,"7,801,800",1.06,0.18%,2017-12-21
140, Bittrex ,FunFair,FUN,BTC,"7,393,600",0.052333,0.17%,2017-12-21
141, Bittrex ,Triggers,TRIG,BTC,"7,245,400",1.40,0.17%,2017-12-21
142, Bittrex ,Voxels,VOX,BTC,"7,238,040",0.332637,0.17%,2017-12-21
143, Bittrex ,Edgeless,EDG,BTC,"6,848,870",1.59,0.16%,2017-12-21
144, Bittrex ,Basic Attention Token,BAT,BTC,"6,838,680",0.337939,0.16%,2017-12-21
145, Bittrex ,Dash,DASH,USDT,"6,524,650",1458.35,0.15%,2017-12-21
146, Bittrex ,Zcash,ZEC,USDT,"6,373,050",625.01,0.15%,2017-12-21
147, Bittrex ,Ripple,XRP,ETH,"6,143,180",0.707402,0.14%,2017-12-21
148, Bittrex ,Rise,RISE,BTC,"6,086,430",0.703070,0.14%,2017-12-21
149, Bittrex ,OKCash,OK,BTC,"5,938,370",0.576514,0.14%,2017-12-21
150, Bittrex ,Mysterium,MYST,BTC,"5,925,390",1.51,0.14%,2017-12-21
151, Bittrex ,PIVX,PIVX,BTC,"5,635,140",8.29,0.13%,2017-12-21
152, Bittrex ,Decred,DCR,BTC,"5,626,690",94.06,0.13%,2017-12-21
153, Bittrex ,Steem Dollars,SBD,BTC,"5,601,840",12.81,0.13%,2017-12-21
154, Bittrex ,Radium,RADS,BTC,"5,597,440",10.36,0.13%,2017-12-21
155, Bittrex ,Humaniq,HMQ,BTC,"5,596,500",0.356409,0.13%,2017-12-21
156, Bittrex ,Stealthcoin,XST,BTC,"5,057,630",1.24,0.12%,2017-12-21
157, Bittrex ,Elastic,XEL,BTC,"4,827,400",0.529141,0.11%,2017-12-21
158, Bittrex ,Patientory,PTOY,BTC,"4,795,770",0.463297,0.11%,2017-12-21
159, Bittrex ,Bitcoin Gold,BTG,ETH,"4,665,800",409.31,0.11%,2017-12-21
160, Bittrex ,Status,SNT,ETH,"4,523,950",0.184796,0.11%,2017-12-21
161, Bittrex ,Litecoin,LTC,ETH,"4,474,380",319.63,0.10%,2017-12-21
162, Bittrex ,PotCoin,POT,BTC,"4,419,240",0.335202,0.10%,2017-12-21
163, Bittrex ,Qtum,QTUM,ETH,"4,409,470",57.08,0.10%,2017-12-21
164, Bittrex ,Monero,XMR,ETH,"4,301,340",444.23,0.10%,2017-12-21
